model,R2_log,MAE_$,RMSE_$,MedAPE_%,MAPE_%,PPE10_%,PPE20_%,train_R2,fit_s,search_s
Ridge baseline,0.8270142281747626,103009.617427749,265312.1077854475,12.518543863797804,16.832054578530528,40.96662830840046,69.62025316455697,0.8410901459420995,,
RF (defaults),0.8413381086363549,88576.1010436023,157558.1240593689,11.213914895097608,15.24049936005753,45.914844649021866,73.76294591484465,0.9599340118633376,2.488602876663208,
GB (defaults),0.8572676729942442,84126.58447685087,139258.768791014,11.098691735038212,15.033305635018873,46.14499424626007,71.6915995397008,0.8894043397359315,1.221200704574585,
XGB (defaults),0.8413297240552973,91723.79718066743,164258.12632792184,11.4491377005348,15.737438118373392,43.958573072497124,73.87802071346375,0.9804146861608057,1.8556222915649414,
RF (tuned),0.8469401284274997,87293.81861617882,157727.88103092072,11.299355458716551,14.977530982732205,45.684695051783656,75.14384349827388,0.9661677160657908,5.518667459487915,56.92925262451172
GB (tuned),0.8626836078472679,82543.2329879025,141733.90988001737,10.542559546626567,14.580272871049631,47.87111622554661,74.56846950517837,0.9170006283837887,6.835840702056885,42.94547176361084
XGB (tuned),0.8668202178467946,81446.68455120828,136994.8794913238,10.777932518115998,14.3818987712244,46.95051783659379,75.8342922899885,0.9329540752737217,2.6014745235443115,22.798190593719482
