model,R2_log,RMSE_log,MAE_$,RMSE_$,MedAPE_%,MAPE_%,PPE10_%,PPE20_%,CV_R2_train,CV_sd
Baseline: global median,-0.004286196560671529,0.5162661659173092,226109.2382048332,368152.51101634017,34.40334961618979,41.97505706402879,14.154200230149597,31.185270425776757,,
Baseline: zipcode median,0.5271752833526353,0.3542378821316077,155642.39477636947,282552.69388667215,21.001926782273657,26.220985545706334,25.546605293440738,48.33141542002301,,
Linear Regression,0.8256561817849902,0.21510385501592968,105231.32954992953,300234.88198635826,12.533981637148237,16.950932653580743,40.62140391254315,69.85040276179517,0.8296621105485826,0.013776456907343816
Ridge (alpha=1),0.8257566688894307,0.21504185603235798,105134.26204524579,298558.273717137,12.53139377882471,16.94621804569346,40.50632911392405,69.96547756041427,0.8297189827810397,0.013768317771455298
Lasso (alpha=0.001),0.8267394537261964,0.21443454807241605,103516.92875975624,274903.80866171,12.771289067122515,16.873665418089335,40.851553509781354,69.85040276179517,0.8303528338705247,0.013702009912837806
"Ridge (alpha=100, tuned)",0.8270142281747626,0.21426444438951284,103009.617427749,265312.1077854475,12.518543863797804,16.832054578530528,40.96662830840046,69.62025316455697,,
"Lasso (alpha=0.01, tuned)",0.8221675295658577,0.21724532932013108,104440.23590899176,279028.58002729615,13.021929694818787,16.94540966089219,40.39125431530495,69.50517836593787,,
